Iteration,Entropy Level,Input Size,Entropy,Compression Time (s),Compression Rate,Dictionary Size
33,2,252596,0.9999999593000279,0.042588233947753906,0.16051323061331138,21879
34,2,417797,0.9999996500548958,0.06886005401611328,0.16218881418487927,34136
35,5,868007,3.245801435168556,0.16929101943969727,0.45486038707061116,65536
36,9,235729,6.554236268456604,0.06368470191955566,1.0151402670015144,65536
37,7,207680,5.388963703952872,0.05407214164733887,0.8440677966101695,65536
38,6,743337,4.5247953134603085,0.16204285621643066,0.6547259183923309,65536
39,7,752484,5.47275991292492,0.1762230396270752,0.8105953083387819,65536
40,5,922072,3.245812922616471,0.1790778636932373,0.4538777882855135,65536
41,5,116989,3.2451743349184845,0.026458740234375,0.4963287146654814,31223
42,5,3092,3.2463385810752445,0.0010631084442138672,0.5785494825355757,1556
43,9,855420,6.554477100790754,0.2051699161529541,0.9811671459633864,65536
44,9,468731,6.554452309681115,0.11745023727416992,0.991668995649957,65536
45,8,955459,6.554529377785319,0.22939085960388184,0.9795564226199136,65536
46,1,256061,7.579791689634983e-05,0.07094597816467285,0.0035001562133874873,972
47,4,125589,2.5849260080188343,0.02513289451599121,0.3974304869892028,26875
48,2,181826,0.9999987432317998,0.029940128326416016,0.16641596911332812,16393
49,4,985857,2.584959303768914,0.18039202690124512,0.35924313490002596,65536
50,1,668986,3.1083326791108375e-05,0.249891996383667,0.0023800946507101794,1413
51,5,958285,3.2463529763402694,0.18442893028259277,0.45346843579937074,65536
52,3,201367,1.9999631805339906,0.03834104537963867,0.2965618233646531,32104
53,6,248705,4.263751109120135,0.05804800987243652,0.650304577712551,65536
54,2,135582,0.9999999692350271,0.022861719131469727,0.16059285155846648,12697
55,6,922871,4.3887013959957555,0.19454407691955566,0.6303979646126057,65536
56,1,414386,4.851348510100481e-05,0.13515186309814453,0.0030261640113324294,1167
57,2,387893,0.9999960385988562,0.0634150505065918,0.1532606930261696,31961
58,2,475855,0.9999993916434275,0.0782020092010498,0.15999831881560558,38323
59,4,115161,2.5849524943919664,0.023473024368286133,0.4010995571378951,24890
60,5,40509,3.2462198256283683,0.009263753890991211,0.5225073440470019,12350
61,4,725642,2.5849481273991937,0.13466525077819824,0.3638515962416729,65536
62,2,807149,0.9999999986436456,0.13346385955810547,0.15168946501823083,61473
63,9,322230,6.554426729158014,0.08299803733825684,1.0017937498060392,65536
64,1,470916,4.308157659640633e-05,0.1590559482574463,0.002838085773258925,1227
65,9,461741,6.554434644149508,0.11434292793273926,0.9920106726498188,65536
66,8,250705,6.554311596139868,0.06632494926452637,1.011603278753914,65536
67,2,376113,0.9999964955709909,0.062162160873413086,0.1537885555670769,31104
68,2,948542,0.9999986905369407,0.15524888038635254,0.14934710323844386,65536
69,4,295078,2.5849305883581164,0.05904388427734375,0.38891411762313693,57635
70,8,561834,6.554496092663293,0.13814306259155273,0.9879608567655215,65536
71,7,528851,5.535546915570066,0.12580275535583496,0.8289858580205011,65536
