Iteration,Entropy Level,Input Size,Entropy,Compression Time (s),Compression Rate,Dictionary Size
1,1,848519,2.4910820901738523e-05,33.01637077331543,0.0023051956469986494,1559
2,8,536956,6.55447320207747,0.3891880512237549,1.1087360975573417,4096
3,2,879652,0.9999992615810358,0.8572230339050293,0.14203287209032664,4096
4,8,653691,6.5544873990302195,0.47527503967285156,1.1134595703474577,4096
5,2,364210,0.9999907246972075,0.36015915870666504,0.14322918096702453,4096
6,9,456350,6.554446244897642,0.33737611770629883,1.1138030020817355,4096
7,1,309669,6.356180003617428e-05,7.570282936096191,0.0038169911001459628,1043
8,3,53607,1.9999132747317052,0.04654073715209961,0.28626595030221624,4096
9,3,344162,1.9999804230527092,0.2743830680847168,0.2771312761506276,4096
10,1,492622,4.1315278468251394e-05,15.011118173599243,0.003026661415852317,1249
11,8,419205,6.5544425216841615,0.3040001392364502,1.1092961677460909,4096
12,7,101600,5.699380408904684,0.07534599304199219,0.888617125984252,4096
13,7,417722,5.350443094088009,0.29877305030822754,0.8234232336338522,4096
14,6,339521,4.221144046808268,0.24385309219360352,0.6213592090032722,4096
15,6,358115,4.5943439837205515,0.25743794441223145,0.6854976753277578,4096
16,6,225370,4.185638988298109,0.1630241870880127,0.6204397213471181,4096
17,5,416894,3.2460876065007884,0.30333685874938965,0.4571737659932741,4096
18,2,273763,0.9999989069124398,0.27073097229003906,0.14380686944546925,4096
19,5,209686,3.2454144777003773,0.15421009063720703,0.45939404633594993,4096
20,4,960746,2.5849581804750956,0.7176451683044434,0.3582653479691823,4096
21,5,879798,3.246789622072486,0.6589851379394531,0.45763232014621535,4096
22,1,234175,8.233157113647983e-05,5.073657035827637,0.004394168438853161,941
23,6,248726,4.069272949872949,0.1809678077697754,0.6009444127272581,4096
24,2,392850,0.9999995566032496,0.38951873779296875,0.14305841924398627,4096
25,5,491395,3.2468170660274023,0.3577079772949219,0.45815179234627945,4096
26,6,287791,4.474394853906809,0.21027493476867676,0.6671091173803211,4096
27,3,568467,1.9999520131650312,0.4477238655090332,0.27590137634045425,4096
28,9,215972,6.554406954118736,0.15860414505004883,1.113262367343915,4096
29,8,59392,6.553376767700559,0.048362016677856445,1.1203781654094827,4096
30,7,330060,5.561545178240759,0.23520517349243164,0.8551127067805854,4096
31,5,506740,3.247405234835038,0.3717041015625,0.45680230492954965,4096
32,9,128826,6.553957930700244,0.09671711921691895,1.1121396301988729,4096
33,6,934877,4.174016987396069,0.6586959362030029,0.6146509112963524,4096
34,5,176087,3.2463621323546192,0.1312577724456787,0.4602809974614821,4096
35,3,154395,1.9999507327273942,0.12505030632019043,0.27942833825586816,4096
36,5,691794,3.2466898119888117,0.4995157718658447,0.45696189906243767,4096
37,1,589107,3.498667733428401e-05,19.798774003982544,0.002767753171755168,1342
38,4,269160,2.58493786712347,0.202833890914917,0.36025412394115025,4096
39,4,764890,2.5849547755503828,0.5708699226379395,0.3573670723894939,4096
40,5,421093,3.246642666530389,0.30975794792175293,0.45895562262968037,4096
41,9,941985,6.554529185739187,0.6829710006713867,1.110215130814185,4096
42,3,709597,1.9999966277462473,0.5590898990631104,0.2758823330458458,4096
43,2,349659,0.9999997471890754,0.3447611331939697,0.14326529561658644,4096
44,7,640877,5.111119376254601,0.456707239151001,0.78193787575463,4096
45,1,487193,4.174293600509262e-05,14.911717176437378,0.00304500073892839,1244
46,9,969997,6.554501657125806,0.6966471672058105,1.1103467330311332,4096
47,9,681933,6.5544944606787565,0.49282097816467285,1.1076630695390897,4096
48,5,968962,3.2456774428096877,0.705049991607666,0.4566711594469133,4096
49,6,223575,4.217726149654047,0.1629188060760498,0.6268835961086884,4096
50,8,705810,6.554484415882769,0.5111722946166992,1.112075487737493,4096
51,9,637579,6.554461439379116,0.4636838436126709,1.1074015925869578,4096
52,9,755995,6.554523123377274,0.5497970581054688,1.1090807478885443,4096
53,8,193116,6.554245746796915,0.14411520957946777,1.1138227800907228,4096
54,3,185232,1.9998979172652454,0.14878511428833008,0.2783590308370044,4096
55,9,72539,6.553573587479595,0.05557584762573242,1.1181502364245441,4096
56,3,680886,1.9999988428997226,0.5395410060882568,0.2755227028392502,4096
57,5,120329,3.2482808947541897,0.09058260917663574,0.4623947676786145,4096
58,5,349248,3.2474062938994344,0.2548079490661621,0.45961036283672346,4096
59,4,547249,2.5849538987358427,0.4077010154724121,0.3582881984036488,4096
60,9,566633,6.55448208709132,0.4114830493927002,1.111656045447406,4096
61,6,323404,4.370423120927295,0.23347902297973633,0.6488741635848659,4096
62,1,418484,4.807234268575946e-05,11.831936120986938,0.0032868640139169,1172
63,1,139251,0.00013307007298135634,2.265007972717285,0.005698384201077199,784
64,7,273145,5.35164654282213,0.19507312774658203,0.8216954364897765,4096
65,6,181789,4.024904991868592,0.13255906105041504,0.592065526517006,4096
66,4,829462,2.584958078660256,0.6257669925689697,0.3581863906966202,4096
67,6,27704,4.508329685948613,0.023647069931030273,0.6931490037539706,4096
68,6,873424,4.289162396864839,0.6109061241149902,0.6328507116818407,4096
69,8,796032,6.55450650331326,0.575700044631958,1.1132605221900627,4096
